chat str=0x00846D6C ref_file=0x00135DBB ref_va~=0x00535DBB
message_to_player str=0x00845E10 ref_file=0x0012F548 ref_va~=0x0052F548
message_sent str=0x008417D4 ref_file=0x000F09DF ref_va~=0x004F09DF
message_generic str=0x00845DF0 ref_file=0x0012F4F6 ref_va~=0x0052F4F6
lobby_chat str=0x00844B7C ref_file=0x001234B0 ref_va~=0x005234B0
lobby_chat str=0x00844B7C ref_file=0x0013D833 ref_va~=0x0053D833
lobby_chat_history str=0x00844B88 ref_file=0x001234E5 ref_va~=0x005234E5
widget_text_white str=0x00844854 ref_file=0x00011164 ref_va~=0x00411164
widget_text_white str=0x00844854 ref_file=0x00012E54 ref_va~=0x00412E54
widget_text_white str=0x00844854 ref_file=0x00014C74 ref_va~=0x00414C74
widget_text_white str=0x00844854 ref_file=0x00016A94 ref_va~=0x00416A94
widget_text_white str=0x00844854 ref_file=0x00019154 ref_va~=0x00419154
widget_text_white str=0x00844854 ref_file=0x0001BD95 ref_va~=0x0041BD95
widget_text_white str=0x00844854 ref_file=0x0001FCF4 ref_va~=0x0041FCF4
widget_text_white str=0x00844854 ref_file=0x00021BF4 ref_va~=0x00421BF4
widget_text_white str=0x00844854 ref_file=0x00024B34 ref_va~=0x00424B34
widget_text_white str=0x00844854 ref_file=0x00026A24 ref_va~=0x00426A24
widget_text_white str=0x00844854 ref_file=0x00028714 ref_va~=0x00428714
widget_text_white str=0x00844854 ref_file=0x0002A5B4 ref_va~=0x0042A5B4
widget_text_white str=0x00844854 ref_file=0x0002C504 ref_va~=0x0042C504
widget_text_white str=0x00844854 ref_file=0x0002F025 ref_va~=0x0042F025
widget_text_white str=0x00844854 ref_file=0x00032485 ref_va~=0x00432485
widget_text_white str=0x00844854 ref_file=0x000374E5 ref_va~=0x004374E5
widget_text_white str=0x00844854 ref_file=0x0003C2A5 ref_va~=0x0043C2A5
widget_text_white str=0x00844854 ref_file=0x000400C4 ref_va~=0x004400C4
widget_text_white str=0x00844854 ref_file=0x00041F44 ref_va~=0x00441F44
widget_text_white str=0x00844854 ref_file=0x00043D44 ref_va~=0x00443D44
widget_text_white str=0x00844854 ref_file=0x00045B44 ref_va~=0x00445B44
widget_text_white str=0x00844854 ref_file=0x00047B34 ref_va~=0x00447B34
widget_text_white str=0x00844854 ref_file=0x00049A44 ref_va~=0x00449A44
widget_text_white str=0x00844854 ref_file=0x0004B844 ref_va~=0x0044B844
widget_text_white str=0x00844854 ref_file=0x0004D534 ref_va~=0x0044D534
widget_text_white str=0x00844854 ref_file=0x00050165 ref_va~=0x00450165
widget_text_white str=0x00844854 ref_file=0x00052224 ref_va~=0x00452224
widget_text_white str=0x00844854 ref_file=0x00054104 ref_va~=0x00454104
widget_text_white str=0x00844854 ref_file=0x00056044 ref_va~=0x00456044
widget_text_yellow str=0x00844868 ref_file=0x00011204 ref_va~=0x00411204
widget_text_yellow str=0x00844868 ref_file=0x00012EF4 ref_va~=0x00412EF4
widget_text_yellow str=0x00844868 ref_file=0x00014D14 ref_va~=0x00414D14
widget_text_yellow str=0x00844868 ref_file=0x00016B34 ref_va~=0x00416B34
widget_text_yellow str=0x00844868 ref_file=0x000191F4 ref_va~=0x004191F4
widget_text_yellow str=0x00844868 ref_file=0x0001BE75 ref_va~=0x0041BE75
widget_text_yellow str=0x00844868 ref_file=0x0001FD94 ref_va~=0x0041FD94
widget_text_yellow str=0x00844868 ref_file=0x00021C94 ref_va~=0x00421C94
widget_text_yellow str=0x00844868 ref_file=0x00024BD4 ref_va~=0x00424BD4
widget_text_yellow str=0x00844868 ref_file=0x00026AC4 ref_va~=0x00426AC4
widget_text_yellow str=0x00844868 ref_file=0x000287B4 ref_va~=0x004287B4
widget_text_yellow str=0x00844868 ref_file=0x0002A654 ref_va~=0x0042A654
widget_text_yellow str=0x00844868 ref_file=0x0002C5A4 ref_va~=0x0042C5A4
widget_text_yellow str=0x00844868 ref_file=0x0002F105 ref_va~=0x0042F105
widget_text_yellow str=0x00844868 ref_file=0x00032565 ref_va~=0x00432565
widget_text_yellow str=0x00844868 ref_file=0x000375C5 ref_va~=0x004375C5
widget_text_yellow str=0x00844868 ref_file=0x0003C385 ref_va~=0x0043C385
widget_text_yellow str=0x00844868 ref_file=0x00040164 ref_va~=0x00440164
widget_text_yellow str=0x00844868 ref_file=0x00041FE4 ref_va~=0x00441FE4
widget_text_yellow str=0x00844868 ref_file=0x00043DE4 ref_va~=0x00443DE4
widget_text_yellow str=0x00844868 ref_file=0x00045BE4 ref_va~=0x00445BE4
widget_text_yellow str=0x00844868 ref_file=0x00047BD4 ref_va~=0x00447BD4
widget_text_yellow str=0x00844868 ref_file=0x00049AE4 ref_va~=0x00449AE4
widget_text_yellow str=0x00844868 ref_file=0x0004B8E4 ref_va~=0x0044B8E4
widget_text_yellow str=0x00844868 ref_file=0x0004D5D4 ref_va~=0x0044D5D4
widget_text_yellow str=0x00844868 ref_file=0x00050245 ref_va~=0x00450245
widget_text_yellow str=0x00844868 ref_file=0x000522C4 ref_va~=0x004522C4
widget_text_yellow str=0x00844868 ref_file=0x000541A4 ref_va~=0x004541A4
widget_text_yellow str=0x00844868 ref_file=0x000560E4 ref_va~=0x004560E4
